time,open,high,low,close,5,6,result
2021-10-27T11:15:00+0530,3495,3500,3492.15,3495.5,403247,0,
2021-10-27T12:15:00+0530,3495.5,3509,3495.4,3503.35,282537,0,
2021-10-27T13:15:00+0530,3503.35,3503.85,3492,3493.5,247132,0,
2021-10-27T14:15:00+0530,3493.5,3497.25,3485,3494.8,545796,0,
2021-10-27T15:15:00+0530,3494.75,3494.85,3484,3488.45,244663,0,
2021-10-28T09:15:00+0530,3518,3518,3477,3486.95,398939,0,
2021-10-28T10:15:00+0530,3487.15,3488.8,3468.05,3471.75,225078,0,
2021-10-28T11:15:00+0530,3471.75,3472.7,3456,3456.1,224946,0,
2021-10-28T12:15:00+0530,3456.45,3461.5,3451.3,3455.75,195221,0,
2021-10-28T13:15:00+0530,3455,3457.9,3431.9,3439.1,356658,0,
2021-10-28T14:15:00+0530,3438.05,3440,3415.05,3418.9,696299,0,
2021-10-28T15:15:00+0530,3418.8,3424.45,3415,3423,287942,0,
2021-10-29T09:15:00+0530,3400.05,3453.75,3395.5,3437,1103235,0,
2021-10-29T10:15:00+0530,3436.9,3444.9,3422.25,3431.5,381996,0,
2021-10-29T11:15:00+0530,3432.1,3458,3432.1,3458,315191,0,
2021-10-29T12:15:00+0530,3458,3460.05,3417,3417,438107,0,
2021-10-29T13:15:00+0530,3415.5,3429.75,3415.5,3418.7,262892,0,
2021-10-29T14:15:00+0530,3418.1,3439,3389.55,3391.95,969219,0,
2021-10-29T15:15:00+0530,3391.2,3406.4,3385.95,3404,444266,0,
2021-11-01T09:15:00+0530,3437.95,3446.75,3413.15,3433.75,527407,0,
2021-11-01T10:15:00+0530,3433.75,3441.25,3428,3432.65,196966,0,
2021-11-01T11:15:00+0530,3432.95,3437.75,3424,3434.95,171670,0,
2021-11-01T12:15:00+0530,3434.85,3439.9,3431.5,3437.15,112459,0,
2021-11-01T13:15:00+0530,3437.15,3448,3436.05,3442.9,241550,0,
2021-11-01T14:15:00+0530,3442.55,3478,3440.1,3477,611900,0,
2021-11-01T15:15:00+0530,3476.95,3487,3472,3478,138672,0,
2021-11-02T09:15:00+0530,3494,3513.45,3487.4,3503.65,1033343,0,
2021-11-02T10:15:00+0530,3504.2,3509.7,3475,3486,594485,0,
2021-11-02T11:15:00+0530,3486,3494.9,3481,3489.95,336707,0,
2021-11-02T12:15:00+0530,3489.95,3489.95,3476,3478.45,230144,0,
2021-11-02T13:15:00+0530,3478.8,3481.45,3470,3477,247868,0,
2021-11-02T14:15:00+0530,3477,3487.1,3472,3487,408837,0,
2021-11-02T15:15:00+0530,3487,3487.95,3480.15,3484,219287,0,
2021-11-03T09:15:00+0530,3504.2,3509.45,3487.15,3503,266505,0,
2021-11-03T10:15:00+0530,3502.8,3519,3492,3518.8,166619,0,
2021-11-03T11:15:00+0530,3518.8,3519.9,3492.05,3493.55,220101,0,
2021-11-03T12:15:00+0530,3493.2,3494.85,3466.05,3475.2,284822,0,
2021-11-03T13:15:00+0530,3475.2,3494,3473.7,3488.75,159111,0,
2021-11-03T14:15:00+0530,3488.75,3498.3,3478.35,3492.9,299593,0,
2021-11-03T15:15:00+0530,3492.95,3496.8,3486.5,3488,126280,0,
2021-11-04T18:15:00+0530,3512,3513.25,3505.2,3508.65,321284,0,
2021-11-08T09:15:00+0530,3548,3548,3491.3,3497.45,532190,0,
2021-11-08T10:15:00+0530,3497.45,3500,3486,3491.95,305708,0,
2021-11-08T11:15:00+0530,3492,3501.6,3481.2,3498.95,538603,0,
2021-11-08T12:15:00+0530,3499.95,3509.75,3495.3,3509.75,307503,0,
2021-11-08T13:15:00+0530,3509.15,3515,3498.35,3511,249472,0,
2021-11-08T14:15:00+0530,3512,3513.9,3500.4,3500.45,290087,0,
2021-11-08T15:15:00+0530,3500.45,3506.9,3500,3506,167933,0,
2021-11-09T09:15:00+0530,3508,3535,3501.25,3516.45,402336,0,
2021-11-09T10:15:00+0530,3517,3517,3502,3504.4,259005,0,
2021-11-09T11:15:00+0530,3504.55,3510.5,3501.65,3503.9,262209,0,
2021-11-09T12:15:00+0530,3503.9,3505.5,3497.3,3504.95,241298,0,
2021-11-09T13:15:00+0530,3505,3508.75,3499.95,3503.6,210604,0,
2021-11-09T14:15:00+0530,3503.6,3510,3503,3505,233561,0,
2021-11-09T15:15:00+0530,3505,3507.35,3500,3503,166049,0,
2021-11-10T09:15:00+0530,3498,3519.5,3488.7,3500.2,376725,0,
2021-11-10T10:15:00+0530,3499.6,3505,3492.9,3499.9,148356,0,
2021-11-10T11:15:00+0530,3499.9,3500.7,3485.55,3489.95,199228,0,
2021-11-10T12:15:00+0530,3490,3491.7,3483.25,3484.8,160715,0,
2021-11-10T13:15:00+0530,3484.95,3494.05,3484,3490.5,256710,0,
2021-11-10T14:15:00+0530,3490.55,3492.4,3481,3483.9,246546,0,
2021-11-10T15:15:00+0530,3483.95,3486.4,3481.35,3484.5,112687,0,
2021-11-11T09:15:00+0530,3480,3480,3446,3450.05,339069,0,
2021-11-11T10:15:00+0530,3449.35,3452.2,3436,3447.3,197267,0,
2021-11-11T11:15:00+0530,3447.3,3453.5,3441,3450.35,90237,0,
2021-11-11T12:15:00+0530,3450.35,3464.5,3450.25,3463.95,117466,0,
2021-11-11T13:15:00+0530,3463.95,3469,3454,3457.3,139923,0,
2021-11-11T14:15:00+0530,3458.9,3486,3457.35,3486,203769,0,
